# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.9114  4.326974482e+18
96.776  5.0493525559e+18
96.6283  5.8780152831e+18
96.4678  6.825332157e+18
96.2937  7.9048791051e+18
96.1055  9.1308440688e+18
95.9027  1.0518045068e+19
95.6847  1.2082593207e+19
95.451  1.3840885265e+19
95.2014  1.581040066e+19
94.9354  1.8008621569e+19
94.6528  2.0454122957e+19
94.3536  2.3164429882e+19
94.0376  2.6159205985e+19
93.7049  2.9457601198e+19
93.3556  3.3078610837e+19
92.99  3.7040882811e+19
92.6084  4.1364979649e+19
92.2114  4.6069250781e+19
91.7993  5.1173877124e+19
91.3557  5.6696839148e+19
90.8568  6.2658740774e+19
90.345  6.9078434951e+19
89.8212  7.597518718e+19
89.2864  8.336928268e+19
88.742  9.1280915287e+19
88.189  9.973079206e+19
87.6287  1.0874018314e+20
87.0623  1.1833149122e+20
86.4912  1.2852842642e+20
85.9165  1.3935541516e+20
85.3395  1.5083825124e+20
84.7615  1.6300474603e+20
84.1836  1.7588429656e+20
83.607  1.8950873322e+20
83.0327  2.0391232641e+20
82.4618  2.19130904e+20
81.8953  2.3520425572e+20
81.3339  2.5217444442e+20
80.7787  2.7008751132e+20
80.2302  2.8899180416e+20
79.6891  3.0894129473e+20
79.1561  3.2999115284e+20
78.6317  3.5220374324e+20
78.1162  3.7564419812e+20
77.61  4.0038254458e+20
77.1134  4.2649415159e+20
76.6267  4.5405886077e+20
76.15  4.8316340669e+20
75.6834  5.1389878165e+20
95.7755  1.7307897928e+19
95.5119  2.0197410224e+19
95.2249  2.3512061132e+19
94.9136  2.7301328628e+19
94.5767  3.161951642e+19
94.2133  3.6523376275e+19
93.8226  4.2072180273e+19
93.3858  4.8330372829e+19
92.8474  5.5363541061e+19
92.2768  6.3241602641e+19
91.6737  7.2034486278e+19
91.038  8.1816491828e+19
90.3701  9.2657719528e+19
89.6703  1.0463682394e+20
88.9392  1.1783040479e+20
88.1776  1.3231444335e+20
87.3866  1.4816353124e+20
86.5674  1.6545991859e+20
85.7215  1.8427700312e+20
84.8506  2.046955085e+20
83.9564  2.2678735659e+20
83.041  2.5063496309e+20
82.1066  2.7631373981e+20
81.1553  3.0390074872e+20
80.1897  3.3347713072e+20
79.212  3.6512366115e+20
78.2249  3.9892316824e+20
77.2307  4.3496073258e+20
76.232  4.7332596489e+20
75.2313  5.1411370568e+20
74.231  5.5742166065e+20
73.2333  6.0335300496e+20
72.2405  6.5201898413e+20
71.2548  7.0353718625e+20
70.278  7.5803493289e+20
69.312  8.1564930562e+20
68.3586  8.76523616e+20
67.4191  9.4081702287e+20
66.495  1.0086977777e+21
65.5875  1.0803500453e+21
64.6975  1.1559672166e+21
63.826  1.2357651789e+21
62.9736  1.3199646114e+21
62.141  1.408814973e+21
61.3285  1.5025767925e+21
60.5364  1.6015301783e+21
59.7649  1.7059766064e+21
59.0141  1.8162354431e+21
58.2838  1.9326536267e+21
57.5741  2.0555951266e+21
94.677  3.8942770338e+19
94.2923  4.5444173003e+19
93.774  5.2902137548e+19
93.2104  6.1427989413e+19
92.6058  7.1143911945e+19
91.9592  8.2177596619e+19
91.2696  9.4662405614e+19
90.5362  1.0874333887e+20
89.7588  1.2456796739e+20
88.9369  1.4229360594e+20
88.0709  1.6207759412e+20
87.1611  1.8408710661e+20
86.2081  2.0847986894e+20
85.2131  2.3543285386e+20
84.1774  2.6511841078e+20
83.1027  2.9770749753e+20
81.991  3.333679453e+20
80.8447  3.7228481684e+20
79.6662  4.1462325703e+20
78.4585  4.6056489412e+20
77.2248  5.1027155234e+20
75.9682  5.6392866696e+20
74.6923  6.2170591456e+20
73.4007  6.8377668462e+20
72.097  7.5032354412e+20
70.7849  8.2152823758e+20
69.4683  8.9757712854e+20
68.1507  9.786616483e+20
66.8358  1.064983421e+21
65.527  1.1567558378e+21
64.2277  1.2541987365e+21
62.941  1.3575442612e+21
