# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.7  0.0000  5.0000  98.0851
7.5  0.7  0.0000  5.3152  98.0851
7.5  0.7  0.0000  5.6503  98.0851
7.5  0.7  0.0000  6.0065  98.0851
7.5  0.7  0.0000  6.3852  98.0851
7.5  0.7  0.0000  6.7878  98.0851
7.5  0.7  0.0000  7.2157  98.0851
7.5  0.7  0.0000  7.6706  98.0851
7.5  0.7  0.0000  8.1542  98.0851
7.5  0.7  0.0000  8.6683  98.0851
7.5  0.7  0.0000  9.2148  98.0851
7.5  0.7  0.0000  9.7958  98.0851
7.5  0.7  0.0000  10.4133  98.0851
7.5  0.7  0.0000  11.0698  98.0851
7.5  0.7  0.0000  11.7677  98.0851
7.5  0.7  0.0000  12.5096  98.0851
7.5  0.7  0.0000  13.2983  98.0851
7.5  0.7  0.0000  14.1367  98.0851
7.5  0.7  0.0000  15.0279  98.0851
7.5  0.7  0.0000  15.9754  98.0851
7.5  0.7  0.0000  16.9825  98.0851
7.5  0.7  0.0000  18.0532  98.0851
7.5  0.7  0.0000  19.1914  98.0851
7.5  0.7  0.0000  20.4013  98.0851
7.5  0.7  0.0000  21.6875  98.0851
7.5  0.7  0.0000  23.0548  98.0851
7.5  0.7  0.0000  24.5083  98.0851
7.5  0.7  0.0000  26.0534  98.0851
7.5  0.7  0.0000  27.6959  98.0851
7.5  0.7  0.0000  29.4420  98.0851
7.5  0.7  0.0000  31.2982  98.0851
7.5  0.7  0.0000  33.2714  98.0851
7.5  0.7  0.0000  35.3690  98.0851
7.5  0.7  0.0000  37.5988  98.0851
7.5  0.7  0.0000  39.9692  98.0851
7.5  0.7  0.0000  42.4891  98.0851
7.5  0.7  0.0000  45.1678  98.0851
7.5  0.7  0.0000  48.0154  98.0851
7.5  0.7  0.0000  51.0425  98.0851
7.5  0.7  0.0000  54.2605  98.0851
7.5  0.7  0.0000  57.6813  98.0851
7.5  0.7  0.0000  61.3179  98.0851
7.5  0.7  0.0000  65.1836  98.0851
7.5  0.7  0.0000  69.2931  98.0851
7.5  0.7  0.0000  73.6617  98.0851
7.5  0.7  0.0000  78.3057  98.0851
7.5  0.7  0.0000  83.2425  98.0851
7.5  0.7  0.0000  88.4905  98.0851
7.5  0.7  0.0000  94.0694  98.0851
7.5  0.7  0.0000  100.0000  98.0851
7.5  0.7  0.0400  5.0000  90.3910
7.5  0.7  0.0400  5.3152  89.2289
7.5  0.7  0.0400  5.6503  87.9629
7.5  0.7  0.0400  6.0065  86.5902
7.5  0.7  0.0400  6.3852  85.1096
7.5  0.7  0.0400  6.7878  83.5207
7.5  0.7  0.0400  7.2157  81.8244
7.5  0.7  0.0400  7.6706  80.0231
7.5  0.7  0.0400  8.1542  78.1208
7.5  0.7  0.0400  8.6683  76.1229
7.5  0.7  0.0400  9.2148  74.0366
7.5  0.7  0.0400  9.7958  71.8706
7.5  0.7  0.0400  10.4133  69.6352
7.5  0.7  0.0400  11.0698  67.0639
7.5  0.7  0.0400  11.7677  64.1952
7.5  0.7  0.0400  12.5096  61.2889
7.5  0.7  0.0400  13.2983  58.3617
7.5  0.7  0.0400  14.1367  55.4309
7.5  0.7  0.0400  15.0279  52.5144
7.5  0.7  0.0400  15.9754  49.6301
7.5  0.7  0.0400  16.9825  46.7959
7.5  0.7  0.0400  18.0532  44.0292
7.5  0.7  0.0400  19.1914  41.3467
7.5  0.7  0.0400  20.4013  38.7645
7.5  0.7  0.0400  21.6875  36.2971
7.5  0.7  0.0400  23.0548  33.9580
7.5  0.7  0.0400  24.5083  31.5232
7.5  0.7  0.0400  26.0534  29.0696
7.5  0.7  0.0400  27.6959  26.6353
7.5  0.7  0.0400  29.4420  24.3766
7.5  0.7  0.0400  31.2982  22.2997
7.5  0.7  0.0400  33.2714  20.4090
7.5  0.7  0.0400  35.3690  18.7075
7.5  0.7  0.0400  37.5988  17.1965
7.5  0.7  0.0400  39.9692  15.7262
7.5  0.7  0.0400  42.4891  14.2885
7.5  0.7  0.0400  45.1678  13.0443
7.5  0.7  0.0400  48.0154  11.9899
7.5  0.7  0.0400  51.0425  11.1204
7.5  0.7  0.0400  54.2605  10.4303
7.5  0.7  0.0400  57.6813  9.8499
7.5  0.7  0.0400  61.3179  9.2306
7.5  0.7  0.0400  65.1836  8.7773
7.5  0.7  0.0400  69.2931  8.4820
7.5  0.7  0.0400  73.6617  8.3362
7.5  0.7  0.0400  78.3057  8.3315
7.5  0.7  0.0400  83.2425  8.4589
7.5  0.7  0.0400  88.4905  8.7098
7.5  0.7  0.0400  94.0694  8.8816
7.5  0.7  0.0400  100.0000  9.1395
7.5  0.7  0.0800  5.0000  83.5009
7.5  0.7  0.0800  5.3152  81.6535
7.5  0.7  0.0800  5.6503  79.6858
7.5  0.7  0.0800  6.0065  77.4854
7.5  0.7  0.0800  6.3852  74.5531
7.5  0.7  0.0800  6.7878  71.5020
7.5  0.7  0.0800  7.2157  68.3511
7.5  0.7  0.0800  7.6706  65.1231
7.5  0.7  0.0800  8.1542  61.8444
7.5  0.7  0.0800  8.6683  58.5451
7.5  0.7  0.0800  9.2148  55.2584
7.5  0.7  0.0800  9.7958  52.0204
7.5  0.7  0.0800  10.4133  48.3124
7.5  0.7  0.0800  11.0698  44.2959
7.5  0.7  0.0800  11.7677  40.4391
7.5  0.7  0.0800  12.5096  36.7866
7.5  0.7  0.0800  13.2983  33.3827
7.5  0.7  0.0800  14.1367  29.9340
7.5  0.7  0.0800  15.0279  26.5261
7.5  0.7  0.0800  15.9754  23.4913
7.5  0.7  0.0800  16.9825  20.4498
7.5  0.7  0.0800  18.0532  17.6331
7.5  0.7  0.0800  19.1914  15.2946
7.5  0.7  0.0800  20.4013  12.9456
7.5  0.7  0.0800  21.6875  11.0066
7.5  0.7  0.0800  23.0548  9.5498
7.5  0.7  0.0800  24.5083  8.1979
7.5  0.7  0.0800  26.0534  7.3167
7.5  0.7  0.0800  27.6959  6.7981
7.5  0.7  0.0800  29.4420  6.4995
7.5  0.7  0.0800  31.2982  6.6752
7.5  0.7  0.0800  33.2714  7.3766
7.5  0.7  0.0800  35.3690  8.2147
7.5  0.7  0.0800  37.5988  9.6158
7.5  0.7  0.0800  39.9692  11.4226
7.5  0.7  0.0800  42.4891  13.4450
7.5  0.7  0.0800  45.1678  15.8812
7.5  0.7  0.0800  48.0154  18.5672
7.5  0.7  0.0800  51.0425  21.7188
7.5  0.7  0.0800  54.2605  25.0474
7.5  0.7  0.0800  57.6813  28.5963
7.5  0.7  0.0800  61.3179  32.5369
7.5  0.7  0.0800  65.1836  36.6950
7.5  0.7  0.0800  69.2931  41.0481
7.5  0.7  0.0800  73.6617  45.5821
7.5  0.7  0.0800  78.3057  50.4010
7.5  0.7  0.0800  83.2425  55.0375
7.5  0.7  0.0800  88.4905  59.7452
7.5  0.7  0.0800  94.0694  64.5100
7.5  0.7  0.0800  100.0000  69.4146
7.5  0.7  0.1200  5.0000  77.2598
7.5  0.7  0.1200  5.3152  74.2329
7.5  0.7  0.1200  5.6503  71.1020
7.5  0.7  0.1200  6.0065  67.8966
7.5  0.7  0.1200  6.3852  64.6518
7.5  0.7  0.1200  6.7878  61.4086
7.5  0.7  0.1200  7.2157  57.6712
7.5  0.7  0.1200  7.6706  53.3353
7.5  0.7  0.1200  8.1542  49.1287
7.5  0.7  0.1200  8.6683  45.1177
7.5  0.7  0.1200  9.2148  41.3301
7.5  0.7  0.1200  9.7958  37.1586
7.5  0.7  0.1200  10.4133  33.3092
7.5  0.7  0.1200  11.0698  29.3468
7.5  0.7  0.1200  11.7677  25.6893
7.5  0.7  0.1200  12.5096  22.1195
7.5  0.7  0.1200  13.2983  18.5135
7.5  0.7  0.1200  14.1367  15.5240
7.5  0.7  0.1200  15.0279  12.7426
7.5  0.7  0.1200  15.9754  10.5863
7.5  0.7  0.1200  16.9825  8.8005
7.5  0.7  0.1200  18.0532  7.5992
7.5  0.7  0.1200  19.1914  6.9131
7.5  0.7  0.1200  20.4013  6.9469
7.5  0.7  0.1200  21.6875  7.5530
7.5  0.7  0.1200  23.0548  8.7760
7.5  0.7  0.1200  24.5083  10.8735
7.5  0.7  0.1200  26.0534  13.3943
7.5  0.7  0.1200  27.6959  16.7117
7.5  0.7  0.1200  29.4420  19.9810
7.5  0.7  0.1200  31.2982  24.1887
7.5  0.7  0.1200  33.2714  29.1017
7.5  0.7  0.1200  35.3690  34.8275
7.5  0.7  0.1200  37.5988  40.9989
7.5  0.7  0.1200  39.9692  47.5940
7.5  0.7  0.1200  42.4891  54.7590
7.5  0.7  0.1200  45.1678  62.7511
7.5  0.7  0.1200  48.0154  71.1730
7.5  0.7  0.1200  51.0425  80.3563
7.5  0.7  0.1200  54.2605  89.8572
7.5  0.7  0.1200  57.6813  99.7014
7.5  0.7  0.1200  61.3179  109.9142
7.5  0.7  0.1200  65.1836  120.6400
7.5  0.7  0.1200  69.2931  131.8902
7.5  0.7  0.1200  73.6617  143.3622
7.5  0.7  0.1200  78.3057  154.8949
