# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
218.0  0.2000  0.0010  100000.0000
218.0  0.2000  0.5095  100000.0000
218.0  0.2000  1.0179  100000.0000
218.0  0.2000  1.5264  100000.0000
218.0  0.2000  2.0348  100000.0000
218.0  0.2000  2.5433  100000.0000
218.0  0.2000  3.0517  100000.0000
218.0  0.2000  3.5602  100000.0000
218.0  0.2000  4.0687  100000.0000
218.0  0.2000  4.5771  100000.0000
218.0  0.2000  5.0856  100000.0000
218.0  0.2000  5.5940  100000.0000
218.0  0.2000  6.1025  100000.0000
218.0  0.2000  6.6109  100000.0000
218.0  0.2000  7.1194  100000.0000
218.0  0.2000  7.6279  100000.0000
218.0  0.2000  8.1363  100000.0000
218.0  0.2000  8.6448  100000.0000
218.0  0.2000  9.1532  100000.0000
218.0  0.2000  9.6617  100000.0000
218.0  0.2000  10.1702  100000.0000
218.0  0.2000  10.6786  100000.0000
218.0  0.2000  11.1871  100000.0000
218.0  0.2000  11.6955  100000.0000
218.0  0.2000  12.2040  100000.0000
218.0  0.2000  12.7124  100000.0000
218.0  0.2000  13.2209  100000.0000
218.0  0.2000  13.7294  100000.0000
218.0  0.2000  14.2378  100000.0000
218.0  0.2000  14.7463  100000.0000
218.0  0.2000  15.2547  100000.0000
218.0  0.2000  15.7632  100000.0000
218.0  0.2000  16.2716  100000.0000
218.0  0.2000  16.7801  100000.0000
218.0  0.2000  17.2886  100000.0000
218.0  0.2000  17.7970  100000.0000
218.0  0.2000  18.3055  100000.0000
218.0  0.2000  18.8139  100000.0000
218.0  0.2000  19.3224  100000.0000
218.0  0.2000  19.8308  100000.0000
218.0  0.2000  20.3393  100000.0000
218.0  0.2000  20.8478  100000.0000
218.0  0.2000  21.3562  100000.0000
218.0  0.2000  21.8647  100000.0000
218.0  0.2000  22.3731  100000.0000
218.0  0.2000  22.8816  100000.0000
218.0  0.2000  23.3901  100000.0000
218.0  0.2000  23.8985  100000.0000
218.0  0.2000  24.4070  100000.0000
218.0  0.2000  24.9154  100000.0000
218.0  0.2000  25.4239  100000.0000
218.0  0.2000  25.9323  100000.0000
218.0  0.2000  26.4408  100000.0000
218.0  0.2000  26.9493  100000.0000
218.0  0.2000  27.4577  100000.0000
218.0  0.2000  27.9662  100000.0000
218.0  0.2000  28.4746  100000.0000
218.0  0.2000  28.9831  100000.0000
218.0  0.2000  29.4915  100000.0000
218.0  0.2000  30.0000  100000.0000
218.0  0.2119  0.0010  100000.0000
218.0  0.2119  0.5095  100000.0000
