# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.2  0.0000  5.0000  98.0851
7.5  0.2  0.0000  5.3152  98.0851
7.5  0.2  0.0000  5.6503  98.0851
7.5  0.2  0.0000  6.0065  98.0851
7.5  0.2  0.0000  6.3852  98.0851
7.5  0.2  0.0000  6.7878  98.0851
7.5  0.2  0.0000  7.2157  98.0851
7.5  0.2  0.0000  7.6706  98.0851
7.5  0.2  0.0000  8.1542  98.0851
7.5  0.2  0.0000  8.6683  98.0851
7.5  0.2  0.0000  9.2148  98.0851
7.5  0.2  0.0000  9.7958  98.0851
7.5  0.2  0.0000  10.4133  98.0851
7.5  0.2  0.0000  11.0698  98.0851
7.5  0.2  0.0000  11.7677  98.0851
7.5  0.2  0.0000  12.5096  98.0851
7.5  0.2  0.0000  13.2983  98.0851
7.5  0.2  0.0000  14.1367  98.0851
7.5  0.2  0.0000  15.0279  98.0851
7.5  0.2  0.0000  15.9754  98.0851
7.5  0.2  0.0000  16.9825  98.0851
7.5  0.2  0.0000  18.0532  98.0851
7.5  0.2  0.0000  19.1914  98.0851
7.5  0.2  0.0000  20.4013  98.0851
7.5  0.2  0.0000  21.6875  98.0851
7.5  0.2  0.0000  23.0548  98.0851
7.5  0.2  0.0000  24.5083  98.0851
7.5  0.2  0.0000  26.0534  98.0851
7.5  0.2  0.0000  27.6959  98.0851
7.5  0.2  0.0000  29.4420  98.0851
7.5  0.2  0.0000  31.2982  98.0851
7.5  0.2  0.0000  33.2714  98.0851
7.5  0.2  0.0000  35.3690  98.0851
7.5  0.2  0.0000  37.5988  98.0851
7.5  0.2  0.0000  39.9692  98.0851
7.5  0.2  0.0000  42.4891  98.0851
7.5  0.2  0.0000  45.1678  98.0851
7.5  0.2  0.0000  48.0154  98.0851
7.5  0.2  0.0000  51.0425  98.0851
7.5  0.2  0.0000  54.2605  98.0851
7.5  0.2  0.0000  57.6813  98.0851
7.5  0.2  0.0000  61.3179  98.0851
7.5  0.2  0.0000  65.1836  98.0851
7.5  0.2  0.0000  69.2931  98.0851
7.5  0.2  0.0000  73.6617  98.0851
7.5  0.2  0.0000  78.3057  98.0851
7.5  0.2  0.0000  83.2425  98.0851
7.5  0.2  0.0000  88.4905  98.0851
7.5  0.2  0.0000  94.0694  98.0851
7.5  0.2  0.0000  100.0000  98.0851
7.5  0.2  0.0400  5.0000  89.0242
7.5  0.2  0.0400  5.3152  87.8612
7.5  0.2  0.0400  5.6503  86.6085
7.5  0.2  0.0400  6.0065  85.2674
7.5  0.2  0.0400  6.3852  83.8417
7.5  0.2  0.0400  6.7878  82.3385
7.5  0.2  0.0400  7.2157  80.7682
7.5  0.2  0.0400  7.6706  78.8794
7.5  0.2  0.0400  8.1542  76.2967
7.5  0.2  0.0400  8.6683  73.6333
7.5  0.2  0.0400  9.2148  70.9199
7.5  0.2  0.0400  9.7958  68.1964
7.5  0.2  0.0400  10.4133  65.5133
7.5  0.2  0.0400  11.0698  62.9336
7.5  0.2  0.0400  11.7677  59.1394
7.5  0.2  0.0400  12.5096  55.3751
7.5  0.2  0.0400  13.2983  51.8875
7.5  0.2  0.0400  14.1367  48.5566
7.5  0.2  0.0400  15.0279  44.8637
7.5  0.2  0.0400  15.9754  40.8446
7.5  0.2  0.0400  16.9825  37.0729
7.5  0.2  0.0400  18.0532  33.1407
7.5  0.2  0.0400  19.1914  29.4038
7.5  0.2  0.0400  20.4013  25.7738
7.5  0.2  0.0400  21.6875  22.0885
7.5  0.2  0.0400  23.0548  18.7993
7.5  0.2  0.0400  24.5083  15.8340
7.5  0.2  0.0400  26.0534  13.5363
7.5  0.2  0.0400  27.6959  11.9289
7.5  0.2  0.0400  29.4420  9.6251
7.5  0.2  0.0400  31.2982  8.2030
7.5  0.2  0.0400  33.2714  7.8722
7.5  0.2  0.0400  35.3690  8.8511
7.5  0.2  0.0400  37.5988  11.2012
7.5  0.2  0.0400  39.9692  16.4025
7.5  0.2  0.0400  42.4891  24.5681
7.5  0.2  0.0400  45.1678  36.6412
7.5  0.2  0.0400  48.0154  53.8570
7.5  0.2  0.0400  51.0425  78.1361
7.5  0.2  0.0400  54.2605  116.2082
7.5  0.2  0.0400  57.6813  169.4954
7.5  0.2  0.0400  61.3179  239.4787
7.5  0.2  0.0400  65.1836  327.6971
7.5  0.2  0.0400  69.2931  435.7464
7.5  0.2  0.0400  73.6617  565.2774
7.5  0.2  0.0400  78.3057  717.9948
7.5  0.2  0.0400  83.2425  895.6557
7.5  0.2  0.0400  88.4905  1100.0676
7.5  0.2  0.0400  94.0694  1333.0872
7.5  0.2  0.0400  100.0000  1596.6187
7.5  0.2  0.0800  5.0000  81.9141
7.5  0.2  0.0800  5.3152  79.4492
7.5  0.2  0.0800  5.6503  76.8655
7.5  0.2  0.0800  6.0065  74.2285
7.5  0.2  0.0800  6.3852  71.5840
7.5  0.2  0.0800  6.7878  68.9911
7.5  0.2  0.0800  7.2157  66.4673
7.5  0.2  0.0800  7.6706  62.5438
7.5  0.2  0.0800  8.1542  58.8301
7.5  0.2  0.0800  8.6683  55.4630
7.5  0.2  0.0800  9.2148  52.0242
7.5  0.2  0.0800  9.7958  47.8059
7.5  0.2  0.0800  10.4133  43.7608
7.5  0.2  0.0800  11.0698  39.8595
7.5  0.2  0.0800  11.7677  36.0151
7.5  0.2  0.0800  12.5096  31.9427
7.5  0.2  0.0800  13.2983  27.8119
7.5  0.2  0.0800  14.1367  24.0456
7.5  0.2  0.0800  15.0279  20.6969
7.5  0.2  0.0800  15.9754  17.8642
7.5  0.2  0.0800  16.9825  15.2271
7.5  0.2  0.0800  18.0532  11.9417
7.5  0.2  0.0800  19.1914  9.6319
7.5  0.2  0.0800  20.4013  8.3889
7.5  0.2  0.0800  21.6875  8.3341
7.5  0.2  0.0800  23.0548  10.4862
7.5  0.2  0.0800  24.5083  15.7945
7.5  0.2  0.0800  26.0534  24.6230
7.5  0.2  0.0800  27.6959  38.6395
7.5  0.2  0.0800  29.4420  64.1790
7.5  0.2  0.0800  31.2982  106.7124
7.5  0.2  0.0800  33.2714  168.2607
7.5  0.2  0.0800  35.3690  250.9517
7.5  0.2  0.0800  37.5988  357.0204
7.5  0.2  0.0800  39.9692  488.8078
7.5  0.2  0.0800  42.4891  648.7605
7.5  0.2  0.0800  45.1678  839.4296
7.5  0.2  0.0800  48.0154  1063.4702
7.5  0.2  0.0800  51.0425  1323.6398
7.5  0.2  0.0800  54.2605  1622.7976
7.5  0.2  0.0800  57.6813  1963.9033
7.5  0.2  0.0800  61.3179  2350.0152
7.5  0.2  0.0800  65.1836  2784.2892
7.5  0.2  0.0800  69.2931  3269.9770
7.5  0.2  0.0800  73.6617  3810.4246
7.5  0.2  0.0800  78.3057  4409.0701
7.5  0.2  0.0800  83.2425  5069.4417
7.5  0.2  0.0800  88.4905  5795.1560
7.5  0.2  0.0800  94.0694  6589.9152
7.5  0.2  0.0800  100.0000  7457.5049
7.5  0.2  0.1200  5.0000  73.7738
7.5  0.2  0.1200  5.3152  71.2382
7.5  0.2  0.1200  5.6503  68.8347
7.5  0.2  0.1200  6.0065  64.9727
7.5  0.2  0.1200  6.3852  61.2798
7.5  0.2  0.1200  6.7878  57.9601
7.5  0.2  0.1200  7.2157  54.5220
7.5  0.2  0.1200  7.6706  50.1689
7.5  0.2  0.1200  8.1542  46.1144
7.5  0.2  0.1200  8.6683  42.2601
7.5  0.2  0.1200  9.2148  38.2999
7.5  0.2  0.1200  9.7958  33.9647
7.5  0.2  0.1200  10.4133  29.8809
7.5  0.2  0.1200  11.0698  26.1395
7.5  0.2  0.1200  11.7677  22.5286
7.5  0.2  0.1200  12.5096  19.4093
7.5  0.2  0.1200  13.2983  15.9299
