# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2000  5.0000  85.9665
218.0  1.5  0.2000  5.1794  85.8238
218.0  1.5  0.2000  5.3652  85.7485
218.0  1.5  0.2000  5.5576  85.8567
218.0  1.5  0.2000  5.7570  86.0320
218.0  1.5  0.2000  5.9635  84.3811
218.0  1.5  0.2000  6.1775  83.7054
218.0  1.5  0.2000  6.3991  81.1186
218.0  1.5  0.2000  6.6286  81.4189
218.0  1.5  0.2000  6.8664  80.1428
218.0  1.5  0.2000  7.1127  79.9812
218.0  1.5  0.2000  7.3679  77.7386
218.0  1.5  0.2000  7.6322  77.6618
218.0  1.5  0.2000  7.9060  76.6994
218.0  1.5  0.2000  8.1896  75.1287
218.0  1.5  0.2000  8.4834  75.4499
218.0  1.5  0.2000  8.7877  73.8102
218.0  1.5  0.2000  9.1030  71.7296
218.0  1.5  0.2000  9.4295  71.0359
218.0  1.5  0.2000  9.7678  71.2058
218.0  1.5  0.2000  10.1182  69.8570
218.0  1.5  0.2000  10.4811  68.1758
218.0  1.5  0.2000  10.8571  66.8662
218.0  1.5  0.2000  11.2466  65.1442
218.0  1.5  0.2000  11.6501  64.8544
218.0  1.5  0.2000  12.0680  64.5418
218.0  1.5  0.2000  12.5009  63.8674
218.0  1.5  0.2000  12.9494  63.5291
218.0  1.5  0.2000  13.4139  63.1194
218.0  1.5  0.2000  13.8951  60.6719
218.0  1.5  0.2000  14.3936  60.2308
218.0  1.5  0.2000  14.9099  59.7919
218.0  1.5  0.2000  15.4448  58.1146
218.0  1.5  0.2000  15.9988  56.0227
218.0  1.5  0.2000  16.5728  55.5615
218.0  1.5  0.2000  17.1673  55.1133
218.0  1.5  0.2000  17.7831  54.6792
218.0  1.5  0.2000  18.4211  54.2601
218.0  1.5  0.2000  19.0819  53.8566
218.0  1.5  0.2000  19.7664  53.4691
218.0  1.5  0.2000  20.4755  53.0980
218.0  1.5  0.2000  21.2100  52.7434
218.0  1.5  0.2000  21.9709  52.4052
218.0  1.5  0.2000  22.7591  52.0833
218.0  1.5  0.2000  23.5755  51.7775
218.0  1.5  0.2000  24.4212  51.4875
218.0  1.5  0.2000  25.2973  51.2128
218.0  1.5  0.2000  26.2048  50.9530
218.0  1.5  0.2000  27.1448  50.7077
218.0  1.5  0.2000  28.1186  49.5558
218.0  1.5  0.2000  29.1273  49.2941
218.0  1.5  0.2000  30.1722  49.0478
218.0  1.5  0.2000  31.2546  48.8160
218.0  1.5  0.2000  32.3758  48.5981
218.0  1.5  0.2000  33.5372  48.3933
218.0  1.5  0.2000  34.7403  48.2010
218.0  1.5  0.2000  35.9865  48.0204
218.0  1.5  0.2000  37.2775  47.8508
218.0  1.5  0.2000  38.6148  47.6917
218.0  1.5  0.2000  40.0000  47.5424
218.0  1.5  0.2119  5.0000  84.5910
218.0  1.5  0.2119  5.1794  84.1150
218.0  1.5  0.2119  5.3652  84.5284
218.0  1.5  0.2119  5.5576  84.1068
218.0  1.5  0.2119  5.7570  85.2194
218.0  1.5  0.2119  5.9635  84.7933
218.0  1.5  0.2119  6.1775  83.7777
218.0  1.5  0.2119  6.3991  81.0866
218.0  1.5  0.2119  6.6286  81.1109
218.0  1.5  0.2119  6.8664  80.4255
