# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.4  0.2000  5.0000  68.4253
218.0  1.4  0.2000  5.1530  69.8528
218.0  1.4  0.2000  5.3106  68.8760
218.0  1.4  0.2000  5.4731  69.2126
218.0  1.4  0.2000  5.6406  69.5374
218.0  1.4  0.2000  5.8131  68.4413
218.0  1.4  0.2000  5.9910  68.3406
218.0  1.4  0.2000  6.1743  68.9008
218.0  1.4  0.2000  6.3632  69.2393
218.0  1.4  0.2000  6.5579  69.8946
218.0  1.4  0.2000  6.7585  68.1644
218.0  1.4  0.2000  6.9653  66.6972
218.0  1.4  0.2000  7.1784  66.7603
218.0  1.4  0.2000  7.3981  67.7518
218.0  1.4  0.2000  7.6244  68.3337
218.0  1.4  0.2000  7.8577  68.3687
218.0  1.4  0.2000  8.0981  68.8956
218.0  1.4  0.2000  8.3458  65.8254
218.0  1.4  0.2000  8.6012  65.7179
218.0  1.4  0.2000  8.8644  66.4491
218.0  1.4  0.2000  9.1356  65.8437
218.0  1.4  0.2000  9.4151  66.5109
218.0  1.4  0.2000  9.7031  67.2166
218.0  1.4  0.2000  10.0000  65.7957
218.0  1.4  0.2000  10.3060  66.3552
218.0  1.4  0.2000  10.6213  64.6181
218.0  1.4  0.2000  10.9462  64.8783
218.0  1.4  0.2000  11.2811  64.3653
218.0  1.4  0.2000  11.6263  65.0457
218.0  1.4  0.2000  11.9820  65.3866
218.0  1.4  0.2000  12.3486  65.8209
218.0  1.4  0.2000  12.7264  65.9514
218.0  1.4  0.2000  13.1158  66.3390
218.0  1.4  0.2000  13.5171  64.1463
218.0  1.4  0.2000  13.9306  63.8616
218.0  1.4  0.2000  14.3568  63.8476
218.0  1.4  0.2000  14.7961  63.6849
218.0  1.4  0.2000  15.2488  64.0089
218.0  1.4  0.2000  15.7153  63.2874
218.0  1.4  0.2000  16.1962  63.2314
218.0  1.4  0.2000  16.6917  63.4851
218.0  1.4  0.2000  17.2024  63.4807
218.0  1.4  0.2000  17.7287  63.8055
